"no_csv","modul","pertanyaan","status","baris_hasil","detik","error","sql"
"1","pemeriksaan","1","OK","1112","0.9","","select distinct(nama_sarana), sarana, klasifikasi_sarana, klasifikasi_distribusi
from mv_pemeriksaan mp 
where mp.klasifikasi_distribusi = 'BADAN USAHA/USAHA PERORANGAN PEMILIK NOTIFIKASI KOSMETIK'"
"2","pemeriksaan","Sarana Importir apa saja yang pernah diperiksa oleh Badan POM?","OK","1288","1.7","","select distinct(nama_sarana), klasifikasi_distribusi
from mv_pemeriksaan mp 
where lower(mp.klasifikasi_distribusi) like '%importir%'"
"3","pemeriksaan","Tampilkan temuan produk berdasarkan kategori sarana distribusi?","OK","304","1.2","","select klasifikasi_distribusi, komoditi, mpt.tp_kategori, count(*), sum(mpt.tp_harga_total)
from mv_pemeriksaan mp 
join mv_pemeriksaan_temuan mpt 
on mp.id = mpt.id_pemeriksaan 
where mp.klasifikasi_distribusi is not null
group by 1, 2, 3"
"5","pemeriksaan","","OK","10","0.5","","SELECT 
	mp.nama_upt,
    mp.klasifikasi_distribusi, 
    mp.kesimpulan, 
    COUNT(*) AS jumlah
FROM mv_pemeriksaan mp
WHERE 
    EXTRACT(YEAR FROM mp.tanggal_selesai) = 2025
    AND LOWER(mp.nama_upt) LIKE '%jakarta%'
    AND (
        LOWER(mp.klasifikasi_distribusi) LIKE '%notifikasi%' 
        OR LOWER(mp.klasifikasi_distribusi) LIKE '%importir%'
    )
GROUP BY 
    1, 2, 3"
"6","pemeriksaan","","OK","27","1.2","","SELECT 
	mp.nama_upt,
    mp.klasifikasi_distribusi, 
    mp.kesimpulan, 
    COUNT(*) AS jumlah
FROM mv_pemeriksaan mp
WHERE 
    EXTRACT(YEAR FROM mp.tanggal_selesai) = 2025
    AND LOWER(mp.nama_upt) LIKE '%jakarta%'
    AND (
        LOWER(mp.klasifikasi_distribusi) NOT LIKE '%notifikasi%' 
        OR LOWER(mp.klasifikasi_distribusi) NOT LIKE '%importir%'
    )
GROUP BY 
    1, 2, 3"
"7","pemeriksaan","","OK","99","0.4","","select komoditi, mpt.tp_kategori, count(*), sum(mpt.tp_harga_total)
from mv_pemeriksaan mp 
join mv_pemeriksaan_temuan mpt 
on mp.id = mpt.id_pemeriksaan 
where mp.klasifikasi_distribusi is not null
group by 1, 2"
"34","pemeriksaan","Tampilkan tiga temuan kritis paling sering ditemui pada Balai Besar POM di DKI Jakarta tah","OK","6","1.2","","select mp.nama_upt, mp.tx_critical_issue, count(*)
from mv_pemeriksaan mp 
where mp.tx_critical_issue is not null
and lower(mp.nama_upt) like '%jakarta%'
and extract(year from mp.tanggal_input) = 2024
group by 1, 2"
"35","pemeriksaan","Tampilkan sarana produksi TMK pada tiga tahun terakhir di wilayah kerja Balai POM di Pangk","OK","23","1.0","","SELECT 
    mp.tanggal_input, 
    mp.nama_upt, 
    mp.kesimpulan, 
    mp.tl_saran_names
FROM mv_pemeriksaan mp
WHERE 
    LOWER(mp.sarana) LIKE '%produksi%'
    AND mp.tanggal_input >= (CURRENT_DATE - INTERVAL '3 years')
    AND LOWER(mp.nama_upt) LIKE '%pangkalpinang%'
    AND mp.kesimpulan = 'TMK'
ORDER BY 1;"
"36","pemeriksaan","Tampilkan persentase ketepatan grading hasil pemeriksaan di UPT x di TW 1 2025 (Syarat : g","OK","3","1.2","","WITH data_grading AS (
    SELECT 
        mp.grade,
        mp.kesimpulan,
        CASE
            WHEN UPPER(mp.grade) = 'A' AND UPPER(mp.kesimpulan) = 'MK' THEN 1
            WHEN UPPER(mp.grade) IN ('B', 'C') AND UPPER(mp.kesimpulan) = 'TMK' THEN 1
            ELSE 0
        END AS tepat
    FROM mv_pemeriksaan mp
    WHERE 
        EXTRACT(YEAR FROM mp.tanggal_mulai) = 2025
        AND mp.grade IS NOT NULL
        AND LOWER(mp.nama_upt) LIKE '%bogor%'
)
SELECT 
    grade,
    COUNT(*) AS total_pemeriksaan,
    SUM(tepat) AS jumlah_tepat,
    COUNT(*) - SUM(tepat) AS jumlah_tidak_tepat,
    ROUND((SUM(tepat)::decimal / NULLIF(COUNT(*), 0)) * 100, 2) AS persentase_ketepatan
FROM data_grading
GROUP BY grade
ORDER BY grade;"
"40","pemeriksaan","Bagaimana tren hasil pemeriksaan sarana produksi MD jenis pangan Garam, Tepung, Lemak dan ","OK","228","4.8","","WITH pemeriksaan_pangan AS (
    SELECT 
        mp.id,
        mp.tanggal_mulai,
        TO_CHAR(mp.tanggal_mulai, 'YYYY-MM') AS bulan_tahun,
        mp.nama_upt,
        mpjp.jenis_pangan_name
    FROM mv_pemeriksaan mp
    JOIN mv_pemeriksaan_jenis_pangan mpjp 
        ON mp.id = mpjp.id_pemeriksaan
    WHERE 
        EXTRACT(YEAR FROM mp.tanggal_mulai) >= 2024
        AND LOWER(mpjp.jenis_pangan_name) ~ '(garam|tepung|lemak|minyak nabati)'
        AND LOWER(mp.sarana) LIKE '%produksi%'   -- karena fokusnya sarana produksi MD
)
SELECT 
    pp.bulan_tahun,
    pp.jenis_pangan_name,
    COUNT(DISTINCT pp.id) AS jumlah_pemeriksaan
FROM pemeriksaan_pangan pp
GROUP BY pp.bulan_tahun, pp.jenis_pangan_name
ORDER BY pp.bulan_tahun, pp.jenis_pangan_name;"
"41","pemeriksaan","Berdasarkan hasil pemeriksaan selama X tahun terakhir (misal selama 5 tahun terakhir), unt","OK","1","1.0","","WITH pemeriksaan_amdk AS (
    SELECT 
        mp.id
    FROM mv_pemeriksaan mp
    JOIN mv_pemeriksaan_jenis_pangan mpjp 
        ON mp.id = mpjp.id_pemeriksaan
    WHERE 
        LOWER(mp.sarana) LIKE '%produksi%'
        AND LOWER(mpjp.jenis_pangan_name) LIKE '%air minum dalam kemasan%'
        AND EXTRACT(YEAR FROM mp.tanggal_mulai) >= EXTRACT(YEAR FROM CURRENT_DATE) - 1
)
SELECT 
    mpkt.tp_kategori,
    COUNT(*) AS jumlah_temuan
FROM mv_pemeriksaan_kategori_temuan mpkt
JOIN pemeriksaan_amdk pam ON pam.id = mpkt.id_pemeriksaan
GROUP BY mpkt.tp_kategori
ORDER BY jumlah_temuan DESC
LIMIT 10;"
"44","pemeriksaan","Ada berapa sarana produksi AMDK dengan hasil pemeriksaan TMK di wilayah kerja Balai POM di","OK","1","2.1","","SELECT 
    COUNT(DISTINCT mp.id) AS jumlah_sarana_tmk
FROM mv_pemeriksaan mp
JOIN mv_pemeriksaan_jenis_pangan mpjp 
    ON mp.id = mpjp.id_pemeriksaan
WHERE 
    EXTRACT(YEAR FROM mp.tanggal_mulai) = 2024
    AND LOWER(mp.nama_upt) LIKE '%bogor%'
    AND LOWER(mp.sarana) LIKE '%produksi%'
    AND LOWER(mpjp.jenis_pangan_name) LIKE '%air minum dalam kemasan%'
    AND UPPER(mp.kesimpulan) = 'TMK';"
